time,open,high,low,close,volume
2020-10-16 04:00:00,1907.46,1910.67,1903.96,1905.73,9973
2020-10-16 08:00:00,1905.75,1912.49,1902.73,1909.89,15244
2020-10-16 12:00:00,1909.88,1913.92,1905.1,1906.85,16472
2020-10-16 16:00:00,1906.79,1910.46,1897.76,1902.85,25563
2020-10-16 20:00:00,1902.85,1904.35,1897.81,1898.76,8212
2020-10-19 00:00:00,1899.71,1902.97,1898.58,1901.16,5127
2020-10-19 04:00:00,1901.19,1903.36,1896.98,1902.81,11014
2020-10-19 08:00:00,1902.81,1912.38,1902.41,1911.22,14569
2020-10-19 12:00:00,1911.26,1918.47,1909.17,1911.79,14724
2020-10-19 16:00:00,1911.81,1912.39,1902.8,1909.72,23461
2020-10-19 20:00:00,1909.72,1910.37,1900.59,1903.44,12306
2020-10-20 00:00:00,1903.5,1904.49,1901.68,1903.42,4033
2020-10-20 04:00:00,1903.42,1904.16,1894.81,1901.28,11784
2020-10-20 08:00:00,1901.27,1904.08,1898.72,1901.64,13229
2020-10-20 12:00:00,1901.64,1908.11,1900.25,1905.24,14883
2020-10-20 16:00:00,1905.23,1912.42,1897.45,1908.72,25978
2020-10-20 20:00:00,1908.74,1914.03,1906.63,1907.53,10266
2020-10-21 00:00:00,1910.14,1915.65,1908.41,1914.58,5556
2020-10-21 04:00:00,1914.57,1920.37,1913.43,1918.96,11317
2020-10-21 08:00:00,1918.96,1922.73,1914.83,1915.62,15732
2020-10-21 12:00:00,1915.6,1926.26,1914.51,1924.79,16224
2020-10-21 16:00:00,1924.78,1931.36,1920.03,1924.95,27785
2020-10-21 20:00:00,1925.0,1926.23,1921.59,1924.6,10507
2020-10-22 00:00:00,1924.65,1925.94,1919.55,1921.27,5830
2020-10-22 04:00:00,1921.28,1922.2,1910.57,1913.58,11257
2020-10-22 08:00:00,1913.56,1920.35,1913.39,1917.04,12775
2020-10-22 12:00:00,1916.99,1918.73,1902.32,1905.71,17239
2020-10-22 16:00:00,1905.7,1907.91,1894.5,1900.55,27889
2020-10-22 20:00:00,1900.55,1905.7,1899.84,1903.67,8868
2020-10-23 00:00:00,1904.81,1907.4,1901.32,1903.1,4616
2020-10-23 04:00:00,1903.04,1907.71,1901.61,1905.77,8762
2020-10-23 08:00:00,1905.77,1912.14,1902.63,1910.94,13045
2020-10-23 12:00:00,1910.94,1914.19,1908.41,1910.25,12662
2020-10-23 16:00:00,1910.25,1911.56,1894.29,1900.94,25259
